=== 数据来源: uy ===
  MX: NAMECHEAP-NET                     1  10.00%

[NS 提供商] edu.uy，域名数 10
  MX: GOOGLE                            7  70.00%
  MX: edu.uy                            2  20.00%
  MX: belvil.net                        1  10.00%

=== 数据来源: uy ===
NS 域名数: 10920
MX 域名数: 10979
NS+MX 交集: 10920

=== MX -> NS 条件分布 ===

[MX 提供商] GOOGLE，域名数 1480
  NS: com.uy                          420  28.38%
  NS: CLOUDFLARENET                   329  22.23%
  NS: GOOGLE                          228  15.41%
  NS: AMAZON-02                        54   3.65%
  NS: Host Europe GmbH                 41   2.77%

[MX 提供商] CLOUDFLARENET，域名数 759
  NS: CLOUDFLARENET                   739  97.36%
  NS: Hostinger International Limited      7   0.92%
  NS: com.uy                            4   0.53%
  NS: AMAZON-02                         3   0.40%
  NS: NSONE                             1   0.13%

[MX 提供商] MICROSOFT-CORP-MSN-AS-BLOCK，域名数 387
  NS: MICROSOFT-CORP-MSN-AS-BLOCK     109  28.17%
  NS: CLOUDFLARENET                    66  17.05%
  NS: com.uy                           66  17.05%
  NS: Host Europe GmbH                 33   8.53%
  NS: GOOGLE                           11   2.84%

[MX 提供商] ZOHO-AS，域名数 285
  NS: CLOUDFLARENET                   111  38.95%
  NS: com.uy                           80  28.07%
  NS: GOOGLE                           18   6.32%
  NS: NSONE                            15   5.26%
  NS: AMAZON-02                         5   1.75%

[MX 提供商] SECURITYSERVICES，域名数 266
  NS: SECURITYSERVICES                250  93.98%
  NS: markmonitor.com                   3   1.13%
  NS: indomco.com                       3   1.13%
  NS: AMAZON-02                         2   0.75%
  NS: CLOUDFLARENET                     2   0.75%

[MX 提供商] GOOGLE-CLOUD-PLATFORM，域名数 219
  NS: AMAZON-02                       197  89.95%
  NS: CLOUDFLARENET                    10   4.57%
  NS: GOOGLE                            3   1.37%
  NS: MICROSOFT-CORP-MSN-AS-BLOCK       2   0.91%
  NS: awsdns-18.com                     1   0.46%

[MX 提供商] com.uy，域名数 175
  NS: com.uy                          122  69.71%
  NS: net.uy                           16   9.14%
  NS: CLOUDFLARENET                    12   6.86%
  NS: Grupo Sys4net, S.l.               5   2.86%
  NS: Administracion Nacional de Telecomunicaciones      3   1.71%

[MX 提供商] RACKSPACE，域名数 101
  NS: CLOUDFLARENET                    68  67.33%
  NS: stabletransit.com                30  29.70%
  NS: GOOGLE                            1   0.99%
  NS: com.uy                            1   0.99%
  NS: NSONE                             1   0.99%

[MX 提供商] AUTOMATTIC，域名数 82
  NS: CLOUDFLARENET                    68  82.93%
  NS: hostgator.net                     6   7.32%
  NS: com.br                            3   3.66%
  NS: AUTOMATTIC                        3   3.66%
  NS: com.uy                            1   1.22%

[MX 提供商] NAMECHEAP-NET，域名数 70
  NS: SECURITYSERVICES                 49  70.00%
  NS: com.uy                            5   7.14%
  NS: CLOUDFLARENET                     5   7.14%
  NS: AMAZON-02                         2   2.86%
  NS: GOOGLE                            2   2.86%

[MX 提供商] mailchannels.net，域名数 60
  NS: CLOUDFLARENET                    59  98.33%
  NS: NSONE                             1   1.67%

[MX 提供商] hostedemail.com，域名数 59
  NS: intersys.uy                      51  86.44%
  NS: SECURITYSERVICES                  4   6.78%
  NS: awsdns-02.net                     1   1.69%
  NS: CLOUDFLARENET                     1   1.69%
  NS: Administracion Nacional de Telecomunicaciones      1   1.69%

[MX 提供商] Eurofiber France SAS，域名数 55
  NS: netim.net                        50  90.91%
  NS: CLOUDFLARENET                     5   9.09%

[MX 提供商] AMAZON-02，域名数 54
  NS: CLOUDFLARENET                    16  29.63%
  NS: site4now.net                     10  18.52%
  NS: AMAZON-02                         9  16.67%
  NS: awsdns-06.net                     2   3.70%
  NS: com.uy                            2   3.70%

[MX 提供商] GANDI SAS，域名数 50
  NS: GANDI SAS                        46  92.00%
  NS: fc-net.fr                         2   4.00%
  NS: CLOUDFLARENET                     1   2.00%
  NS: AMAZON-02                         1   2.00%

[MX 提供商] h-email.net，域名数 45
  NS: AMAZON-02                        45 100.00%

[MX 提供商] com.ar，域名数 43
  NS: CLOUDFLARENET                    37  86.05%
  NS: com.ar                            4   9.30%
  NS: GOOGLE                            1   2.33%
  NS: com.uy                            1   2.33%

[MX 提供商] NorthC Deutschland GmbH，域名数 37
  NS: IONOS SE                         37 100.00%

[MX 提供商] LIQUIDNETLTD1，域名数 32
  NS: supremedns.com                   20  62.50%
  NS: lonex.com                        11  34.38%
  NS: GOOGLE                            1   3.12%

[MX 提供商] Proton AG，域名数 30
  NS: CLOUDFLARENET                    17  56.67%
  NS: com.uy                            9  30.00%
  NS: cloudns.net                       2   6.67%
  NS: desec.io                          1   3.33%
  NS: netuy.net                         1   3.33%

[MX 提供商] APPLE-ENGINEERING，域名数 27
  NS: CLOUDFLARENET                    16  59.26%
  NS: com.uy                            5  18.52%
  NS: NSONE                             3  11.11%
  NS: netuy.net                         1   3.70%
  NS: bunny.net                         1   3.70%

[MX 提供商] Safenames Ltd.，域名数 27
  NS: Safenames Ltd.                   21  77.78%
  NS: SECURITYSERVICES                  6  22.22%

[MX 提供商] Nameshield SAS，域名数 27
  NS: nameshield.net                   22  81.48%
  NS: perf1.com                         5  18.52%

[MX 提供商] GO-DADDY-COM-LLC，域名数 24
  NS: Host Europe GmbH                 16  66.67%
  NS: com.uy                            5  20.83%
  NS: CLOUDFLARENET                     2   8.33%
  NS: NSONE                             1   4.17%

[MX 提供商] 20i Limited，域名数 22
  NS: GOOGLE-CLOUD-PLATFORM            21  95.45%
  NS: CLOUDFLARENET                     1   4.55%

[MX 提供商] OVH SAS，域名数 21
  NS: OVH SAS                          18  85.71%
  NS: anycast.me                        2   9.52%
  NS: awsdns-14.org                     1   4.76%

[MX 提供商] Akamai Connected Cloud，域名数 17
  NS: Akamai Connected Cloud           14  82.35%
  NS: CLOUDFLARENET                     2  11.76%
  NS: PRIVATESYSTEMS                    1   5.88%

[MX 提供商] fcomet.com，域名数 15
  NS: Akamai Connected Cloud           11  73.33%
  NS: CLOUDFLARENET                     4  26.67%

[MX 提供商] Fastmail Pty Ltd，域名数 15
  NS: CLOUDFLARENET                     8  53.33%
  NS: NSONE                             3  20.00%
  NS: RAMNODE                           1   6.67%
  NS: awsdns-17.org                     1   6.67%
  NS: awsdns-04.com                     1   6.67%

[MX 提供商] localhost，域名数 13
  NS: sedoparking.com                  13 100.00%

[MX 提供商] gub.uy，域名数 13
  NS: gub.uy                           11  84.62%
  NS: casinos.uy                        1   7.69%
  NS: com.uy                            1   7.69%

[MX 提供商] YANDEX LLC，域名数 13
  NS: CLOUDFLARENET                     7  53.85%
  NS: com.uy                            2  15.38%
  NS: DIGICERT                          1   7.69%
  NS: fatcow.com                        1   7.69%
  NS: GOOGLE                            1   7.69%

[MX 提供商] com.br，域名数 12
  NS: com.br                            6  50.00%
  NS: CLOUDFLARENET                     6  50.00%

[MX 提供商] ko.com，域名数 12
  NS: MICROSOFT-CORP-MSN-AS-BLOCK      12 100.00%

[MX 提供商] NAMECRANE，域名数 12
  NS: PONYNET                           9  75.00%
  NS: CLOUDFLARENET                     1   8.33%
  NS: desarrolloswebgx.com              1   8.33%
  NS: quicns.com                        1   8.33%

[MX 提供商] IONOS SE，域名数 10
  NS: IONOS SE                          9  90.00%
  NS: CLOUDFLARENET                     1  10.00%

[MX 提供商] Register S.p.A.，域名数 10
  NS: register.it                      10 100.00%

[MX 提供商] QUICKPACKET，域名数 10
  NS: CLOUDFLARENET                     8  80.00%
  NS: AMAZON-02                         1  10.00%
  NS: HOSTING EN LA WEB S.A.S.          1  10.00%

[MX 提供商] Grupo Sys4net, S.l.，域名数 10
  NS: Grupo Sys4net, S.l.              10 100.00%
